transaction_id,sale_amount,transaction_date,transaction_time,transaction_timestamp,avg_temp,min_temp,max_temp
2,5,2019-04-01,15:25:09,2019-04-01T15:25:09Z,3.9,0.0,7.4
9,5,2019-04-01,09:22:18,2019-04-01T09:22:18Z,3.9,0.0,7.4
12,3,2019-04-01,13:02:48,2019-04-01T13:02:48Z,3.9,0.0,7.4
14,3,2019-04-01,08:52:32,2019-04-01T08:52:32Z,3.9,0.0,7.4
31,7.5,2019-04-01,09:34:47,2019-04-01T09:34:47Z,3.9,0.0,7.4
35,6,2019-04-01,17:28:53,2019-04-01T17:28:53Z,3.9,0.0,7.4
39,3,2019-04-01,12:34:26,2019-04-01T12:34:26Z,3.9,0.0,7.4
43,7.5,2019-04-01,09:21:45,2019-04-01T09:21:45Z,3.9,0.0,7.4
46,2.5,2019-04-01,08:47:03,2019-04-01T08:47:03Z,3.9,0.0,7.4
49,2,2019-04-01,18:24:23,2019-04-01T18:24:23Z,3.9,0.0,7.4
49,3,2019-04-01,18:24:23,2019-04-01T18:24:23Z,3.9,0.0,7.4
53,4.25,2019-04-01,10:35:40,2019-04-01T10:35:40Z,3.9,0.0,7.4
54,6,2019-04-01,08:42:00,2019-04-01T08:42:00Z,3.9,0.0,7.4
60,5,2019-04-01,11:51:41,2019-04-01T11:51:41Z,3.9,0.0,7.4
63,7.5,2019-04-01,17:22:22,2019-04-01T17:22:22Z,3.9,0.0,7.4
64,4,2019-04-01,09:00:12,2019-04-01T09:00:12Z,3.9,0.0,7.4
71,3.75,2019-04-01,08:48:48,2019-04-01T08:48:48Z,3.9,0.0,7.4
71,3.5,2019-04-01,08:48:48,2019-04-01T08:48:48Z,3.9,0.0,7.4
76,4.9,2019-04-01,07:52:17,2019-04-01T07:52:17Z,3.9,0.0,7.4
82,5.1,2019-04-01,09:13:15,2019-04-01T09:13:15Z,3.9,0.0,7.4
83,3.1,2019-04-01,16:24:11,2019-04-01T16:24:11Z,3.9,0.0,7.4
94,2.5,2019-04-01,14:31:26,2019-04-01T14:31:26Z,3.9,0.0,7.4
101,6,2019-04-01,11:31:43,2019-04-01T11:31:43Z,3.9,0.0,7.4
101,3.25,2019-04-01,11:31:43,2019-04-01T11:31:43Z,3.9,0.0,7.4
104,9,2019-04-01,11:55:07,2019-04-01T11:55:07Z,3.9,0.0,7.4
126,7.5,2019-04-01,15:46:34,2019-04-01T15:46:34Z,3.9,0.0,7.4
136,4,2019-04-01,13:23:54,2019-04-01T13:23:54Z,3.9,0.0,7.4
138,2.45,2019-04-01,15:30:58,2019-04-01T15:30:58Z,3.9,0.0,7.4
139,2.5,2019-04-01,13:55:04,2019-04-01T13:55:04Z,3.9,0.0,7.4
141,6,2019-04-01,09:49:19,2019-04-01T09:49:19Z,3.9,0.0,7.4
141,3.25,2019-04-01,09:49:19,2019-04-01T09:49:19Z,3.9,0.0,7.4
170,6,2019-04-01,08:35:03,2019-04-01T08:35:03Z,3.9,0.0,7.4
170,3.75,2019-04-01,08:35:03,2019-04-01T08:35:03Z,3.9,0.0,7.4
175,6,2019-04-01,13:51:59,2019-04-01T13:51:59Z,3.9,0.0,7.4
180,3.75,2019-04-01,15:10:10,2019-04-01T15:10:10Z,3.9,0.0,7.4
180,3.5,2019-04-01,15:10:10,2019-04-01T15:10:10Z,3.9,0.0,7.4
191,4.25,2019-04-01,12:51:32,2019-04-01T12:51:32Z,3.9,0.0,7.4
191,3.25,2019-04-01,12:51:32,2019-04-01T12:51:32Z,3.9,0.0,7.4
195,8.5,2019-04-01,15:17:48,2019-04-01T15:17:48Z,3.9,0.0,7.4
197,5,2019-04-01,14:42:01,2019-04-01T14:42:01Z,3.9,0.0,7.4
199,5,2019-04-01,18:13:32,2019-04-01T18:13:32Z,3.9,0.0,7.4
202,3,2019-04-01,17:28:42,2019-04-01T17:28:42Z,3.9,0.0,7.4
202,3.25,2019-04-01,17:28:42,2019-04-01T17:28:42Z,3.9,0.0,7.4
209,5,2019-04-01,18:27:08,2019-04-01T18:27:08Z,3.9,0.0,7.4
236,6,2019-04-01,08:29:51,2019-04-01T08:29:51Z,3.9,0.0,7.4
248,6.2,2019-04-01,07:22:41,2019-04-01T07:22:41Z,3.9,0.0,7.4
248,3,2019-04-01,07:22:41,2019-04-01T07:22:41Z,3.9,0.0,7.4
251,2.5,2019-04-01,16:47:05,2019-04-01T16:47:05Z,3.9,0.0,7.4
251,3.25,2019-04-01,16:47:05,2019-04-01T16:47:05Z,3.9,0.0,7.4
255,4.5,2019-04-01,14:31:29,2019-04-01T14:31:29Z,3.9,0.0,7.4
276,4,2019-04-01,08:58:56,2019-04-01T08:58:56Z,3.9,0.0,7.4
283,2.55,2019-04-01,09:11:06,2019-04-01T09:11:06Z,3.9,0.0,7.4
283,3,2019-04-01,09:11:06,2019-04-01T09:11:06Z,3.9,0.0,7.4
292,4.4,2019-04-01,13:43:41,2019-04-01T13:43:41Z,3.9,0.0,7.4
299,3.75,2019-04-01,14:56:17,2019-04-01T14:56:17Z,3.9,0.0,7.4
300,3.1,2019-04-01,11:52:31,2019-04-01T11:52:31Z,3.9,0.0,7.4
304,3,2019-04-01,08:58:55,2019-04-01T08:58:55Z,3.9,0.0,7.4
319,7.5,2019-04-01,09:03:57,2019-04-01T09:03:57Z,3.9,0.0,7.4
319,3.5,2019-04-01,09:03:57,2019-04-01T09:03:57Z,3.9,0.0,7.4
325,2.5,2019-04-01,16:52:51,2019-04-01T16:52:51Z,3.9,0.0,7.4
330,6,2019-04-01,07:46:28,2019-04-01T07:46:28Z,3.9,0.0,7.4
330,3.25,2019-04-01,07:46:28,2019-04-01T07:46:28Z,3.9,0.0,7.4
332,4.4,2019-04-01,15:06:27,2019-04-01T15:06:27Z,3.9,0.0,7.4
335,2,2019-04-01,07:25:49,2019-04-01T07:25:49Z,3.9,0.0,7.4
337,3,2019-04-01,16:26:04,2019-04-01T16:26:04Z,3.9,0.0,7.4
340,2.5,2019-04-01,16:40:19,2019-04-01T16:40:19Z,3.9,0.0,7.4
343,4,2019-04-01,14:08:20,2019-04-01T14:08:20Z,3.9,0.0,7.4
343,4.5,2019-04-01,14:08:20,2019-04-01T14:08:20Z,3.9,0.0,7.4
350,7.5,2019-04-01,09:10:35,2019-04-01T09:10:35Z,3.9,0.0,7.4
353,3,2019-04-01,12:08:21,2019-04-01T12:08:21Z,3.9,0.0,7.4
360,3.75,2019-04-01,15:19:22,2019-04-01T15:19:22Z,3.9,0.0,7.4
377,5,2019-04-01,10:34:17,2019-04-01T10:34:17Z,3.9,0.0,7.4
378,3.75,2019-04-01,08:00:35,2019-04-01T08:00:35Z,3.9,0.0,7.4
378,3,2019-04-01,08:00:35,2019-04-01T08:00:35Z,3.9,0.0,7.4
