date_valid_std,min_temp,max_temp,avg_temp
2019-04-01,0.0,7.4,3.9
2019-04-02,2.9,8.5,5.8
2019-04-03,4.5,18.3,11.4
2019-04-04,6.3,15.2,10.1
2019-04-05,3.5,6.1,4.2
2019-04-06,4.0,19.4,11.3
2019-04-07,9.8,16.1,13.2
2019-04-08,9.3,24.3,16.3
2019-04-09,7.2,9.1,8.1
2019-04-10,6.7,14.8,10.4
2019-04-11,4.3,9.9,7.0
2019-04-12,7.7,18.3,12.6
2019-04-13,14.8,22.2,18.2
2019-04-14,13.7,20.4,16.5
2019-04-15,7.4,16.4,12.3
2019-04-16,6.0,17.6,12.0
2019-04-17,9.1,14.4,11.2
2019-04-18,10.2,15.4,12.7
2019-04-19,15.4,23.5,18.3
2019-04-20,12.2,17.3,14.8
2019-04-21,11.6,17.2,13.8
2019-04-22,11.4,17.1,14.4
2019-04-23,13.2,23.1,17.5
2019-04-24,13.8,20.6,17.9
2019-04-25,9.4,15.7,12.2
2019-04-26,11.5,15.1,12.9
2019-04-27,9.2,15.1,11.8
2019-04-28,7.3,11.2,9.6
2019-04-29,5.1,13.0,9.6
2019-04-30,9.0,15.7,11.9
2019-05-01,9.9,12.4,11.2
2019-05-02,10.2,22.8,14.2
2019-05-03,9.8,13.0,11.4
2019-05-04,11.7,19.6,14.6
2019-05-05,10.7,13.8,12.0
2019-05-06,10.7,19.7,14.6
2019-05-07,11.8,19.5,15.5
2019-05-08,13.3,19.9,15.8
2019-05-09,11.5,14.7,13.0
2019-05-10,12.6,22.9,17.9
2019-05-11,13.7,21.1,16.8
2019-05-12,6.4,13.5,8.6
2019-05-13,6.1,9.0,7.9
2019-05-14,6.9,10.4,8.6
2019-05-15,7.4,20.1,14.2
2019-05-16,12.2,21.9,17.3
2019-05-17,15.7,25.1,20.5
2019-05-18,13.9,22.5,17.7
2019-05-19,15.2,23.6,19.6
2019-05-20,18.4,30.3,24.7
2019-05-21,14.0,22.1,17.7
2019-05-22,13.2,23.7,18.7
2019-05-23,13.6,22.2,18.0
2019-05-24,16.7,23.1,20.5
2019-05-25,13.7,20.0,16.6
2019-05-26,16.2,30.6,22.7
2019-05-27,18.5,26.7,22.9
2019-05-28,17.2,21.7,19.5
2019-05-29,13.8,21.2,17.2
2019-05-30,13.9,18.7,16.3
2019-05-31,17.3,26.8,22.0
